run_id,series,na2s2o3_ml,ki_ml,starch_ml,water_ml,fecl3_ml,time_s,na2s2o3_stock_m,ki_stock_m,fecl3_stock_m,starch_stock_g_l
1,high_fe_0p5m,5.00,5.00,4.00,1.00,0.30,26.230,0.020,0.200,0.500,10.0
2,high_fe_0p5m,4.75,5.00,4.00,1.25,0.30,23.740,0.020,0.200,0.500,10.0
3,high_fe_0p5m,4.50,5.00,4.00,1.50,0.30,21.910,0.020,0.200,0.500,10.0
4,high_fe_0p5m,4.25,5.00,4.00,1.75,0.30,18.360,0.020,0.200,0.500,10.0
5,high_fe_0p5m,4.00,5.00,4.00,2.00,0.30,16.565,0.020,0.200,0.500,10.0
6,high_fe_0p5m,3.75,5.00,4.00,2.25,0.30,13.900,0.020,0.200,0.500,10.0
7,high_fe_0p5m,3.50,5.00,4.00,2.50,0.30,12.635,0.020,0.200,0.500,10.0
8,high_fe_0p5m,3.25,5.00,4.00,2.75,0.30,11.765,0.020,0.200,0.500,10.0
9,high_fe_0p5m,3.00,5.00,4.00,3.00,0.30,11.070,0.020,0.200,0.500,10.0
10,fe_0p3m,5.50,5.00,4.00,0.50,0.30,214.595,0.015,0.200,0.300,10.0
11,fe_0p3m,5.25,5.00,4.00,0.75,0.30,112.705,0.015,0.200,0.300,10.0
12,fe_0p3m,5.00,5.00,4.00,1.00,0.30,85.965,0.015,0.200,0.300,10.0
13,fe_0p3m,4.75,5.00,4.00,1.25,0.30,68.675,0.015,0.200,0.300,10.0
14,fe_0p3m,4.50,5.00,4.00,1.50,0.30,52.285,0.015,0.200,0.300,10.0
15,fe_0p3m,4.25,5.00,4.00,1.75,0.30,42.085,0.015,0.200,0.300,10.0
16,fe_0p3m,4.00,5.00,4.00,2.00,0.30,36.140,0.015,0.200,0.300,10.0
17,fe_0p3m,3.75,5.00,4.00,2.25,0.30,30.090,0.015,0.200,0.300,10.0
18,fe_0p3m,3.50,5.00,4.00,2.50,0.30,25.855,0.015,0.200,0.300,10.0
19,fe_0p3m,3.25,5.00,4.00,2.75,0.30,21.185,0.015,0.200,0.300,10.0
20,fe_0p3m,3.00,5.00,4.00,3.00,0.30,17.960,0.015,0.200,0.300,10.0
21,fe_0p3m,2.75,5.00,4.00,3.25,0.30,15.385,0.015,0.200,0.300,10.0
22,fe_0p3m,2.50,5.00,4.00,3.50,0.30,13.130,0.015,0.200,0.300,10.0
23,fe_0p3m,2.25,5.00,4.00,3.75,0.30,11.625,0.015,0.200,0.300,10.0
24,fe_0p3m,2.00,5.00,4.00,4.00,0.30,9.890,0.015,0.200,0.300,10.0
